id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado
229,16087,2025-06-11,5957.36,CERRADO
230,19159,2025-01-09,1517.87,CERRADO
231,16670,2025-09-17,12582.5,RECHAZADO
232,3014,2025-07-03,9726.96,CERRADO
233,11033,2025-03-04,9170.56,ABIERTO
235,23798,2025-07-10,10657.43,ABIERTO
241,20874,2025-01-29,5212.81,CERRADO
242,10437,2025-06-03,14596.52,RECHAZADO
245,5447,2025-08-20,14464.74,ABIERTO
246,11329,2025-01-10,11681.88,ABIERTO
248,11871,2026-01-25,804.82,CERRADO
252,2267,2025-11-01,12762.64,ABIERTO
253,1765,2026-01-31,10785.64,ABIERTO
254,22116,2025-03-14,5059.14,CERRADO
257,15563,2025-04-27,7905.89,CERRADO
258,7251,2025-09-04,359.56,ABIERTO
259,19809,2025-09-21,10058.57,CERRADO
261,9851,2025-12-31,1092.58,RECHAZADO
263,6744,2025-05-06,8228.53,ABIERTO
265,217,2025-11-12,3763.55,ABIERTO
266,18359,2025-07-22,11326.78,RECHAZADO
268,18702,2025-03-11,5803.93,ABIERTO
270,21104,2025-08-28,8284.25,ABIERTO
272,11306,2025-10-12,6748.93,ABIERTO
273,14467,2025-03-20,2855.89,ABIERTO
275,19524,2025-09-13,10334.68,ABIERTO
276,24025,2025-07-21,12873.15,CERRADO
279,8178,2025-05-30,10418.51,RECHAZADO
281,22881,2025-11-14,197.86,CERRADO
282,11387,2025-02-07,5370.01,CERRADO
284,4685,2025-01-05,11406.08,ABIERTO
285,17418,2025-04-10,5091.35,ABIERTO
286,14149,2025-05-29,7311.29,ABIERTO
287,17519,2025-11-22,2869.86,RECHAZADO
288,19817,2025-01-22,2321.09,ABIERTO
289,2525,2025-01-20,6583.18,CERRADO
290,23857,2025-07-23,3302.24,CERRADO
292,15112,2025-10-01,2486.04,CERRADO
294,21932,2026-02-01,9926.07,ABIERTO
295,11353,2025-11-06,566.0,ABIERTO
297,7821,2025-12-09,3566.43,CERRADO
299,11447,2026-02-08,14867.64,CERRADO
300,13999,2025-02-23,331.95,ABIERTO
301,19710,2025-08-08,1424.02,CERRADO
304,2036,2025-02-21,8381.86,CERRADO
309,22223,2025-04-03,11939.28,CERRADO
311,16425,2025-05-02,10081.65,CERRADO
312,15669,2026-02-05,2986.38,ABIERTO
315,6480,2025-10-28,13359.79,RECHAZADO
318,18504,2025-12-17,14001.5,CERRADO
320,17508,2025-10-31,8640.45,ABIERTO
321,15003,2025-10-22,4359.69,ABIERTO
322,19178,2025-12-08,10770.63,ABIERTO
324,4083,2025-03-18,10678.85,CERRADO
327,8526,2025-05-17,13905.74,RECHAZADO
328,19746,2025-03-11,6693.43,ABIERTO
329,23344,2025-01-08,10541.76,ABIERTO
332,20787,2025-05-17,11131.22,ABIERTO
333,21160,2025-11-26,6116.37,ABIERTO
334,12046,2025-04-03,2537.12,ABIERTO
335,12406,2025-04-05,319.52,CERRADO
339,8768,2025-01-25,2863.49,ABIERTO
340,4853,2025-11-16,8016.06,ABIERTO
343,25543,2025-07-21,4564.3,CERRADO
344,9611,2025-02-22,2147.03,CERRADO
345,5702,2025-08-30,10398.23,ABIERTO
346,16953,2026-03-02,14629.39,CERRADO
349,18539,2025-11-27,-4684.76,CERRADO
350,7943,2025-05-11,10787.07,CERRADO
352,5401,2025-11-09,14262.99,RECHAZADO
354,23874,2025-04-20,12544.63,RECHAZADO
356,21703,2025-08-01,3463.49,ABIERTO
359,12112,2025-10-26,2073.55,ABIERTO
360,24056,2025-09-20,7083.76,RECHAZADO
361,16268,2025-07-17,13927.17,ABIERTO
363,21311,2026-02-04,9959.61,ABIERTO
365,18228,2025-11-17,13973.16,CERRADO
366,5844,2025-02-02,11212.65,CERRADO
367,942,2025-07-05,1374.6,ABIERTO
368,14823,2025-10-11,1629.44,ABIERTO
369,15818,2025-02-14,434.28,ABIERTO
370,20114,2026-02-14,5559.03,ABIERTO
371,20612,2025-02-12,5087.67,CERRADO
372,941,2025-01-31,10846.29,ABIERTO
373,16241,2026-02-16,2754.6,CERRADO
375,3784,2025-02-21,6278.59,CERRADO
377,19938,2026-01-27,-3081.44,ABIERTO
378,4586,2025-01-09,2051.08,ABIERTO
379,19394,2025-04-11,4337.43,CERRADO
384,16998,2025-09-17,8268.6,CERRADO
389,21668,2026-01-31,11042.25,ABIERTO
390,840,2026-02-23,10747.46,ABIERTO
392,20920,2025-08-04,1035.65,CERRADO
395,990,2025-06-11,924.16,ABIERTO
396,986,2025-10-23,8896.66,ABIERTO
397,22624,2025-06-14,6819.88,CERRADO
398,10478,2025-08-24,7566.63,ABIERTO
399,1386,2025-04-06,1160.69,ABIERTO
403,9469,2026-01-30,3664.72,CERRADO
405,17081,2025-08-02,13445.95,ABIERTO
406,13593,2025-05-31,1225.41,CERRADO
409,4598,2025-08-10,14385.55,ABIERTO
412,1661,2025-05-01,12937.82,ABIERTO
413,15474,2025-01-14,11665.1,CERRADO
416,1066,2025-11-06,2268.69,RECHAZADO
417,24940,2025-06-20,11978.74,ABIERTO
419,11189,2025-07-19,6286.41,CERRADO
420,15208,2025-06-17,14567.87,RECHAZADO
422,9973,2025-12-28,5901.69,ABIERTO
424,11599,2025-06-21,2656.34,CERRADO
425,6477,2025-10-23,11168.31,ABIERTO
426,24821,2025-06-18,9786.35,CERRADO
430,9420,2025-03-07,14797.54,RECHAZADO
432,3991,2026-02-07,12934.03,CERRADO
433,13660,2025-07-14,4257.18,RECHAZADO
434,9923,2025-03-19,10300.58,CERRADO
437,23431,2025-08-14,9923.03,RECHAZADO
440,16397,2025-10-16,8359.38,RECHAZADO
441,22684,2025-12-03,10554.36,RECHAZADO
442,25876,2025-10-03,147.22,RECHAZADO
448,13756,2025-11-18,8492.99,CERRADO
449,10005,2025-02-05,9876.19,ABIERTO
450,18661,2025-11-05,2919.02,RECHAZADO
451,3111,2025-03-30,12498.73,CERRADO
462,1370,2025-02-25,2238.16,RECHAZADO
463,1315,2025-05-23,9403.53,CERRADO
464,7665,2025-08-23,6095.66,ABIERTO
465,4729,2025-10-15,13763.87,CERRADO
466,19556,2025-05-22,929.56,CERRADO
467,12477,2025-04-29,12448.85,CERRADO
468,7145,2025-06-29,9748.24,RECHAZADO
470,7885,2025-12-18,9856.68,CERRADO
471,2155,2025-01-12,5220.04,ABIERTO
472,4686,2025-11-19,7740.48,ABIERTO
473,6110,2025-02-02,14439.69,RECHAZADO
477,23464,2026-02-01,4561.33,RECHAZADO
478,15010,2026-01-27,11687.78,ABIERTO
482,18388,2025-11-03,2624.1,CERRADO
484,10177,2025-09-21,9795.3,RECHAZADO
486,16519,2025-10-01,4527.06,CERRADO
487,21900,2025-11-02,14449.32,ABIERTO
489,6169,2025-07-06,10359.49,CERRADO
491,10798,2025-04-13,11866.01,CERRADO
492,5514,2025-07-05,13335.48,CERRADO
494,4271,2025-09-12,11207.5,CERRADO
496,9321,2025-08-23,597.85,ABIERTO
499,4303,2026-02-03,6686.39,ABIERTO
500,24173,2025-07-03,6633.52,RECHAZADO
501,1935,2025-03-01,9456.55,ABIERTO
502,8758,2026-01-02,7272.53,ABIERTO
503,13990,2025-07-15,4634.32,CERRADO
504,12911,2026-07-02,12735.57,ABIERTO
505,9535,2025-04-03,13921.33,RECHAZADO
512,25808,2025-04-28,1956.2,ABIERTO
515,7931,2025-04-19,7142.51,ABIERTO
519,2775,2025-09-20,11906.59,ABIERTO
520,17065,2026-01-19,8464.37,ABIERTO
521,2027,2025-08-21,2008.92,ABIERTO
522,8459,2025-09-24,5956.22,ABIERTO
523,2414,2025-08-10,13565.6,ABIERTO
525,9683,2025-06-01,4540.67,CERRADO
526,6685,2026-01-27,965.71,CERRADO
527,17205,2025-06-03,12224.81,CERRADO
529,1551,2026-02-24,12584.02,CERRADO
530,19258,2025-10-10,14448.22,ABIERTO
532,13554,2025-02-17,10457.23,RECHAZADO
533,1400,2026-02-17,778.9,ABIERTO
534,13893,2025-07-01,2203.47,ABIERTO
535,17558,2025-05-11,775.73,CERRADO
536,1687,2025-11-28,8216.35,ABIERTO
537,10763,2025-01-29,6960.69,CERRADO
538,16568,2026-02-21,800.55,CERRADO
539,15629,2025-02-04,629.03,ABIERTO
540,24874,2025-10-25,6239.3,RECHAZADO
544,13123,2025-03-06,8419.73,ABIERTO
545,14630,2025-01-07,965.14,CERRADO
546,2269,2025-03-13,6320.76,CERRADO
547,18971,2025-12-06,13821.43,ABIERTO
549,10771,2026-01-19,-9024.61,ABIERTO
550,25667,2025-11-08,3598.0,ABIERTO
551,21438,2025-07-05,5836.89,ABIERTO
552,2165,2025-11-02,11024.33,CERRADO
553,21888,2026-01-05,3112.17,CERRADO
555,17858,2025-01-16,13960.18,CERRADO
557,6868,2025-06-30,5325.91,CERRADO
558,21780,2025-10-05,10753.61,CERRADO
560,3151,2025-02-28,-1744.2,ABIERTO
561,8177,2025-05-11,3376.64,CERRADO
562,15715,2026-01-28,4479.51,CERRADO
563,18040,2025-08-03,7778.11,RECHAZADO
564,21307,2025-12-06,11816.47,RECHAZADO
566,7229,2025-09-10,8102.59,RECHAZADO
570,25508,2025-05-21,9919.76,CERRADO
571,354,2025-02-12,11624.3,RECHAZADO
572,8028,2026-02-06,1046.73,CERRADO
573,5994,2026-01-25,8064.22,CERRADO
575,17032,2025-09-23,6006.23,CERRADO
576,20005,2025-05-29,3660.61,ABIERTO
577,9416,2025-07-16,7281.78,ABIERTO
578,5441,2025-05-05,6542.3,CERRADO
579,6238,2025-06-25,-676.22,RECHAZADO
580,21031,2025-08-22,14726.12,ABIERTO
582,11973,2025-11-27,681.75,ABIERTO
583,15892,2025-01-31,9323.33,RECHAZADO
585,2185,2025-08-02,14347.09,CERRADO
586,5064,2025-01-01,3427.67,CERRADO
588,9780,2025-01-20,12340.44,ABIERTO
589,23761,2025-02-04,1722.65,CERRADO
590,1390,2025-11-22,5100.16,CERRADO
591,24753,2025-12-29,9243.95,ABIERTO
594,24598,2025-09-18,2947.86,RECHAZADO
596,20730,2025-01-21,-13047.91,ABIERTO
598,15220,2025-04-17,263.87,RECHAZADO
599,20491,2025-01-16,567.78,CERRADO
603,17985,2025-07-24,14180.71,ABIERTO
608,24323,2025-09-04,5670.57,ABIERTO
609,13678,2025-03-23,5395.55,ABIERTO
610,22850,2025-10-06,11563.14,ABIERTO
613,22432,2025-08-03,11453.7,ABIERTO
614,9264,2025-09-09,1692.12,ABIERTO
615,11298,2025-11-14,9282.91,RECHAZADO
616,6056,2025-08-12,5153.3,ABIERTO
619,3397,2025-03-12,10501.36,ABIERTO
620,17258,2025-10-14,2924.44,CERRADO
624,11022,2025-06-30,13436.62,CERRADO
626,22538,2025-08-05,4677.56,ABIERTO
627,471,2025-01-09,6150.14,RECHAZADO
631,3214,2025-07-24,14084.12,RECHAZADO
633,5243,2025-06-10,1215.3,RECHAZADO
635,13335,2026-02-20,2689.49,CERRADO
637,22494,2025-05-01,8852.96,ABIERTO
638,19539,2025-12-12,10177.49,ABIERTO
640,13475,2025-07-25,12933.19,ABIERTO
641,21496,2025-03-15,8941.22,ABIERTO
642,6639,2026-01-27,6072.88,ABIERTO
643,4604,2026-02-12,13596.15,CERRADO
645,11915,2025-04-27,8814.08,CERRADO
646,4770,2025-02-15,5803.73,ABIERTO
648,4252,2025-07-13,7226.64,ABIERTO
649,12061,2026-03-02,8161.32,ABIERTO
650,24671,2025-09-05,6124.17,RECHAZADO
655,14468,2025-06-25,4379.27,ABIERTO
657,23993,2026-01-18,12774.15,CERRADO
658,9973,2026-02-20,7195.36,RECHAZADO
659,8391,2025-01-24,8128.14,CERRADO
660,24254,2025-06-08,4004.38,CERRADO
665,21165,2025-11-12,9060.55,CERRADO
667,22850,2025-09-06,14333.09,RECHAZADO
669,17465,2025-10-24,1905.81,ABIERTO
670,25645,2025-07-26,5730.79,ABIERTO
673,12793,2025-04-27,7026.08,CERRADO
674,9099,2025-10-27,5490.56,ABIERTO
677,19888,2026-01-30,8543.66,ABIERTO
678,24681,2025-05-01,1097.13,RECHAZADO
680,7570,2025-12-28,12621.97,CERRADO
682,23566,2025-07-26,13620.41,RECHAZADO
683,23539,2025-10-22,10505.35,CERRADO
684,13740,2025-07-24,13370.29,CERRADO
685,8447,2025-07-16,5431.73,CERRADO
689,10280,2025-01-23,10161.02,CERRADO
690,679,2025-06-23,14161.93,ABIERTO
692,7865,2025-05-17,7245.23,ABIERTO
693,239,2026-11-02,2587.5,CERRADO
694,16051,2025-02-23,2151.57,RECHAZADO
697,8619,2025-10-10,11461.41,ABIERTO
699,24920,2025-01-22,2235.03,RECHAZADO
702,2873,2025-06-14,5179.61,CERRADO
705,13150,2025-11-12,11601.83,RECHAZADO
706,2757,2025-08-25,13278.87,CERRADO
707,24991,2025-11-27,7549.29,ABIERTO
712,24680,2026-07-01,13399.7,CERRADO
713,20970,2025-07-21,2303.55,CERRADO
714,5994,2025-04-26,10205.69,CERRADO
715,23754,2025-12-18,10141.18,ABIERTO
718,7795,2026-02-22,12169.4,ABIERTO
719,15868,2025-12-25,1394.24,CERRADO
720,24674,2026-06-02,1668.36,ABIERTO
721,21605,2025-10-25,10947.61,CERRADO
722,17682,2025-02-16,10999.55,ABIERTO
723,24857,2025-01-15,508.97,CERRADO
724,23742,2025-02-24,8822.98,CERRADO
727,25607,2026-01-14,9084.17,ABIERTO
729,4497,2025-11-14,336.98,ABIERTO
731,22473,2025-11-12,3126.48,CERRADO
732,20771,2025-06-18,3214.48,ABIERTO
733,16099,2025-08-10,12090.96,ABIERTO
736,1668,2025-08-27,1066.12,CERRADO
737,8626,2025-11-23,8378.93,CERRADO
739,25838,2025-10-09,6691.62,CERRADO
744,8360,2026-02-03,2020.77,ABIERTO
745,22996,2025-11-20,1381.36,CERRADO
747,2468,2025-07-01,10010.05,RECHAZADO
748,20797,2025-01-14,5210.91,ABIERTO
749,14183,2026-01-06,8218.95,CERRADO
750,7697,2025-10-08,5380.56,ABIERTO
753,1456,2025-10-10,3016.99,CERRADO
755,11416,2025-10-01,4159.67,ABIERTO
757,19194,2025-03-24,2954.35,CERRADO
761,97,2025-03-08,12403.25,RECHAZADO
764,9791,2025-10-15,5691.21,CERRADO
767,6334,2026-02-04,12486.42,ABIERTO
768,17775,2025-03-18,6684.29,CERRADO
769,14602,2025-11-17,3895.18,ABIERTO
770,13566,2025-09-24,9355.26,ABIERTO
772,12625,2025-10-22,11637.18,CERRADO
774,12939,2025-09-27,11202.95,CERRADO
775,13123,2025-04-07,3021.45,RECHAZADO
776,21701,2025-03-01,14772.14,RECHAZADO
780,11745,2026-02-04,9907.16,ABIERTO
781,3134,2025-11-21,11122.43,CERRADO
782,6674,2025-03-09,4364.59,ABIERTO
787,15672,2025-05-24,3901.09,CERRADO
789,24449,2025-04-02,12583.0,CERRADO
794,6939,2025-11-16,3297.63,RECHAZADO
795,18424,2025-03-15,7565.56,CERRADO
796,16905,2025-01-06,13179.02,ABIERTO
797,17041,2025-01-30,11728.06,CERRADO
798,9464,2025-07-11,-9622.54,CERRADO
799,11920,2025-05-21,8440.96,ABIERTO
800,1975,2025-12-14,8292.32,ABIERTO
801,10815,2025-10-11,14958.46,ABIERTO
802,6531,2025-01-25,14323.7,CERRADO
803,13409,2025-12-24,13826.32,ABIERTO
804,5193,2025-08-23,767.61,ABIERTO
805,14256,2025-07-04,3088.12,CERRADO
807,22910,2025-07-30,13637.84,RECHAZADO
809,3561,2025-09-27,4364.29,ABIERTO
810,11163,2026-02-08,6044.37,ABIERTO
811,22989,2025-07-12,14492.11,CERRADO
812,7450,2025-09-08,7610.44,ABIERTO
813,1969,2025-05-23,5858.6,ABIERTO
815,9848,2025-01-18,1187.79,ABIERTO
818,14589,2025-02-18,11864.54,ABIERTO
819,5330,2025-04-28,9561.37,RECHAZADO
820,24370,2025-10-30,4963.22,CERRADO
822,3042,2025-10-18,11626.56,ABIERTO
823,5148,2025-04-12,14340.42,ABIERTO
824,18973,2025-04-08,9516.18,CERRADO
826,12367,2026-01-17,9969.24,CERRADO
827,24558,2025-08-12,3709.87,CERRADO
831,9957,2025-12-03,8993.77,RECHAZADO
832,3475,2025-12-22,9461.23,RECHAZADO
833,6103,2025-04-05,13411.06,ABIERTO
836,23099,2025-03-16,688.22,ABIERTO
837,1687,2025-07-06,1640.78,CERRADO
841,4360,2025-01-02,12737.06,ABIERTO
842,19198,2025-08-27,10786.07,ABIERTO
844,5928,2025-12-11,5490.32,CERRADO
845,13175,2025-09-10,4442.61,RECHAZADO
846,16436,2025-02-09,5636.39,RECHAZADO
849,12309,2025-11-04,6366.94,ABIERTO
850,9751,2025-04-23,9186.57,RECHAZADO
851,17927,2025-02-17,501.54,ABIERTO
852,12066,2025-09-11,2254.6,CERRADO
853,19756,2025-12-29,9050.18,CERRADO
855,2289,2025-05-10,1159.96,RECHAZADO
856,25525,2025-01-07,10915.67,ABIERTO
857,1484,2025-06-29,1471.64,CERRADO
858,2946,2026-01-13,12490.65,RECHAZADO
859,22653,2025-08-18,7300.88,CERRADO
860,15538,2025-01-07,14296.85,ABIERTO
863,6005,2025-01-06,13650.52,CERRADO
864,20430,2025-10-05,13342.56,CERRADO
866,18456,2025-03-25,13514.54,CERRADO
867,3500,2025-05-22,9701.84,ABIERTO
870,15653,2025-09-09,8242.35,RECHAZADO
872,16566,2025-11-20,4539.83,ABIERTO
873,15212,2025-07-21,8365.73,ABIERTO
874,18047,2025-11-22,10000.73,RECHAZADO
875,18074,2025-05-04,13160.02,CERRADO
878,10168,2025-10-22,8935.21,CERRADO
881,1160,2025-02-13,14837.14,CERRADO
882,15099,2025-04-11,6468.18,RECHAZADO
883,8904,2025-04-27,6133.42,CERRADO
887,15902,2025-06-28,4924.89,CERRADO
889,3295,2025-03-30,3508.23,ABIERTO
890,12963,2025-07-26,4734.11,RECHAZADO
895,19216,2026-01-14,7478.23,ABIERTO
897,15786,2025-02-24,7020.23,CERRADO
899,13030,2026-01-29,348.08,CERRADO
900,17242,2025-06-25,4820.85,RECHAZADO
901,9443,2025-04-08,9973.45,RECHAZADO
903,24211,2025-04-21,1906.88,CERRADO
904,20112,2026-01-05,-14404.26,ABIERTO
905,19964,2025-03-11,862.86,CERRADO
906,11499,2025-11-11,10802.07,RECHAZADO
909,23985,2025-04-15,10199.91,RECHAZADO
913,24281,2025-06-18,559.31,RECHAZADO
914,3674,2025-02-15,822.39,ABIERTO
916,21501,2025-11-06,13527.3,ABIERTO
918,7889,2025-01-25,9589.21,RECHAZADO
919,1612,2025-01-17,3709.68,ABIERTO
921,635,2025-05-18,8664.03,RECHAZADO
922,21030,2025-12-08,9249.04,ABIERTO
923,15771,2025-07-06,4528.7,CERRADO
925,13202,2025-06-03,9733.32,ABIERTO
928,19642,2025-10-14,3641.04,RECHAZADO
932,18329,2026-02-13,12118.68,CERRADO
935,9187,2025-05-21,9943.93,RECHAZADO
936,20440,2025-05-26,9412.71,RECHAZADO
937,17087,2025-04-27,11588.54,RECHAZADO
940,14722,2025-07-26,12050.35,ABIERTO
941,8357,2025-08-05,6459.51,ABIERTO
945,3389,2026-01-11,3574.17,ABIERTO
946,6105,2025-06-01,7893.41,ABIERTO
948,25579,2026-02-15,2845.66,ABIERTO
949,6109,2025-07-01,1755.99,ABIERTO
953,13907,2025-02-24,11543.65,CERRADO
954,5140,2025-05-20,8041.41,RECHAZADO
955,20635,2025-04-20,3080.23,RECHAZADO
957,24483,2025-10-21,11523.16,ABIERTO
965,1471,2026-09-01,11318.24,CERRADO
966,18796,2025-09-01,3648.68,CERRADO
967,1199,2025-03-20,13030.52,CERRADO
968,5183,2025-07-19,7366.53,ABIERTO
970,15665,2025-01-21,10080.9,ABIERTO
971,3878,2025-05-18,13000.22,CERRADO
972,8783,2025-05-20,11852.24,ABIERTO
977,24253,2026-02-20,2092.45,ABIERTO
978,22436,2025-03-26,8311.65,ABIERTO
981,7969,2025-04-01,6736.39,ABIERTO
982,2212,2025-04-03,9426.16,ABIERTO
983,6254,2025-07-10,1576.27,CERRADO
987,285,2026-01-29,2407.18,CERRADO
988,13768,2025-06-13,13570.71,ABIERTO
989,8745,2025-07-30,6809.15,RECHAZADO
990,5952,2025-05-04,-12460.96,CERRADO
993,2043,2025-09-30,8645.4,CERRADO
995,25741,2026-01-27,12613.58,CERRADO
996,21960,2025-11-21,860.32,ABIERTO
998,24397,2025-08-30,8487.11,CERRADO
1003,22903,2025-08-01,14621.41,ABIERTO
1004,25647,2025-12-27,10855.63,CERRADO
1007,5235,2025-04-23,3436.21,RECHAZADO
1009,595,2025-07-31,12266.0,CERRADO
1010,766,2025-01-29,1055.61,CERRADO
1011,21442,2025-03-26,13421.57,CERRADO
1012,4651,2025-08-05,8060.87,CERRADO
1016,16618,2025-09-16,2878.66,RECHAZADO
1018,21542,2025-04-06,8348.28,RECHAZADO
1022,22714,2025-10-15,2551.17,CERRADO
1023,24296,2025-11-22,2166.64,RECHAZADO
1024,16567,2025-08-25,5252.85,CERRADO
1025,4210,2025-07-23,9442.08,ABIERTO
1027,15572,2025-06-29,12459.2,CERRADO
1029,7880,2025-01-23,6128.39,ABIERTO
1032,3331,2025-06-06,13707.48,ABIERTO
1034,2399,2025-01-20,6493.63,RECHAZADO
1036,17772,2026-01-14,10598.48,RECHAZADO
