id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado,motivo
353,21230,2025-10-14,,ABIERTO,No cuenta con un monto de siniestro
355,23407,2025-08-09,,CERRADO,No cuenta con un monto de siniestro
357,3742,2026-01-14,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
358,5810,2025-11-18,6718.36,,El estado del siniestro se encuentra vacio
362,18426,2025-04-19,,ABIERTO,No cuenta con un monto de siniestro
364,16748,2025-08-24,7756.38,,El estado del siniestro se encuentra vacio
374,24381,2025-07-27,,ABIERTO,No cuenta con un monto de siniestro
376,18210,2025-04-21,13180.58,,El estado del siniestro se encuentra vacio
380,19177,2025-11-20,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
381,18189,2026-01-31,,CERRADO,No cuenta con un monto de siniestro
382,13149,2026-02-13,5788.34,,El estado del siniestro se encuentra vacio
383,3726,2026-02-08,,CERRADO,No cuenta con un monto de siniestro
385,3696,2026-02-12,2099.51,,El estado del siniestro se encuentra vacio
386,20394,2026-01-19,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
387,7121,2025-03-16,101.74,,El estado del siniestro se encuentra vacio
388,8625,2025-10-30,4076.28,,El estado del siniestro se encuentra vacio
391,24690,2025-01-25,5736.62,,El estado del siniestro se encuentra vacio
393,19824,2025-11-11,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
394,7220,2025-07-25,6657.59,,El estado del siniestro se encuentra vacio
400,6936,2025-08-02,8411.6,,El estado del siniestro se encuentra vacio
401,12559,2025-01-26,,RECHAZADO,No cuenta con un monto de siniestro
402,22663,2025-04-29,11363.64,,El estado del siniestro se encuentra vacio
404,4048,2025-12-14,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
407,15499,2026-02-07,,ABIERTO,No cuenta con un monto de siniestro
408,15018,2026-02-19,13987.17,,El estado del siniestro se encuentra vacio
410,20008,2025-09-06,908.44,,El estado del siniestro se encuentra vacio
411,15930,2025-09-21,,ABIERTO,No cuenta con un monto de siniestro
414,1039,2025-11-28,6928.26,,El estado del siniestro se encuentra vacio
415,10705,2025-10-03,4372.08,,El estado del siniestro se encuentra vacio
418,19027,2025-02-20,,ABIERTO,No cuenta con un monto de siniestro
421,5615,2025-09-23,9744.9,,El estado del siniestro se encuentra vacio
423,11261,2025-03-24,,ABIERTO,No cuenta con un monto de siniestro
427,19205,2026-01-05,8961.5,,El estado del siniestro se encuentra vacio
428,20511,2025-09-12,1741.82,,El estado del siniestro se encuentra vacio
429,10083,2025-08-08,4186.36,,El estado del siniestro se encuentra vacio
431,16556,2025-10-30,,CERRADO,No cuenta con un monto de siniestro
435,15659,2025-02-15,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
436,4058,2026-01-07,13142.69,,El estado del siniestro se encuentra vacio
438,20439,2025-09-22,,CERRADO,No cuenta con un monto de siniestro
439,23475,2025-01-03,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
443,11757,2025-06-27,7553.76,,El estado del siniestro se encuentra vacio
444,23715,2025-02-19,2748.13,,El estado del siniestro se encuentra vacio
445,7801,2025-01-27,,RECHAZADO,No cuenta con un monto de siniestro
446,849,2025-07-07,966.15,,El estado del siniestro se encuentra vacio
447,24783,2025-05-16,3775.66,,El estado del siniestro se encuentra vacio
452,1835,2025-04-14,6449.29,,El estado del siniestro se encuentra vacio
453,14614,2025-12-10,5081.75,,El estado del siniestro se encuentra vacio
454,18671,2025-05-17,14655.73,,El estado del siniestro se encuentra vacio
455,11674,2025-05-22,,CERRADO,No cuenta con un monto de siniestro
456,6812,2026-02-24,10457.09,,El estado del siniestro se encuentra vacio
457,4234,2025-10-22,,RECHAZADO,No cuenta con un monto de siniestro
458,22894,2025-11-16,13379.41,,El estado del siniestro se encuentra vacio
459,19084,2025-06-05,11662.9,,El estado del siniestro se encuentra vacio
460,9557,2025-03-07,11367.71,,El estado del siniestro se encuentra vacio
461,9517,2025-10-27,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
469,10808,2025-12-30,3705.92,,El estado del siniestro se encuentra vacio
474,12213,2025-05-04,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
475,13039,2025-10-13,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
476,4147,2025-01-09,,RECHAZADO,No cuenta con un monto de siniestro
479,4770,2025-07-06,,CERRADO,No cuenta con un monto de siniestro
480,23674,2025-06-27,192.04,,El estado del siniestro se encuentra vacio
481,5991,2025-08-25,,RECHAZADO,No cuenta con un monto de siniestro
483,1067,2025-07-27,5411.94,,El estado del siniestro se encuentra vacio
485,23236,2025-08-13,9341.17,,El estado del siniestro se encuentra vacio
488,7922,2025-08-05,,ABIERTO,No cuenta con un monto de siniestro
490,9596,2025-07-24,-6745.26,,El estado del siniestro se encuentra vacio
493,12637,2025-01-24,13814.68,,El estado del siniestro se encuentra vacio
495,3898,2025-10-29,12255.39,,El estado del siniestro se encuentra vacio
497,17866,2026-01-28,5018.42,,El estado del siniestro se encuentra vacio
498,16934,2025-09-29,6665.81,,El estado del siniestro se encuentra vacio
506,23610,2025-03-02,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
507,14126,2026-01-26,7410.93,,El estado del siniestro se encuentra vacio
508,11505,2025-04-17,4336.27,,El estado del siniestro se encuentra vacio
509,9632,2026-01-24,11512.22,,El estado del siniestro se encuentra vacio
510,24704,2025-05-08,,ABIERTO,No cuenta con un monto de siniestro
511,9290,2025-01-30,2170.06,,El estado del siniestro se encuentra vacio
513,19811,2025-09-01,,ABIERTO,No cuenta con un monto de siniestro
514,749,2026-01-26,,ABIERTO,No cuenta con un monto de siniestro
516,18551,2025-03-01,3577.31,,El estado del siniestro se encuentra vacio
517,19123,2026-02-24,,RECHAZADO,No cuenta con un monto de siniestro
518,5192,2025-03-14,,CERRADO,No cuenta con un monto de siniestro
524,3266,2025-04-19,,ABIERTO,No cuenta con un monto de siniestro
528,21844,2026-01-16,1897.7,,El estado del siniestro se encuentra vacio
531,16681,2025-10-21,,CERRADO,No cuenta con un monto de siniestro
541,17082,2025-04-25,12640.91,,El estado del siniestro se encuentra vacio
542,13402,2025-02-07,6580.87,,El estado del siniestro se encuentra vacio
543,22193,2025-07-13,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
548,320,2025-07-13,6636.52,,El estado del siniestro se encuentra vacio
554,25784,2025-05-10,,CERRADO,No cuenta con un monto de siniestro
556,6947,2025-12-13,,ABIERTO,No cuenta con un monto de siniestro
559,24920,2026-02-01,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
565,19612,2025-01-24,,RECHAZADO,No cuenta con un monto de siniestro
567,21236,2025-09-30,542.33,,El estado del siniestro se encuentra vacio
568,7634,2025-01-20,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
569,13976,2025-12-08,11416.44,,El estado del siniestro se encuentra vacio
574,21648,2025-06-23,,CERRADO,No cuenta con un monto de siniestro
581,17730,2025-08-18,6180.21,,El estado del siniestro se encuentra vacio
584,7265,2025-07-05,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
587,22918,2025-10-26,2427.43,,El estado del siniestro se encuentra vacio
592,11961,2025-12-10,8976.92,,El estado del siniestro se encuentra vacio
593,25605,2025-02-04,6324.53,,El estado del siniestro se encuentra vacio
595,16802,2025-03-01,,CERRADO,No cuenta con un monto de siniestro
597,22326,2025-09-16,11586.97,,El estado del siniestro se encuentra vacio
600,25582,2025-09-28,13159.89,,El estado del siniestro se encuentra vacio
601,12091,2025-03-02,,ABIERTO,No cuenta con un monto de siniestro
602,11450,2025-07-10,5353.0,,El estado del siniestro se encuentra vacio
604,1034,2026-01-16,7672.14,,El estado del siniestro se encuentra vacio
605,24391,2025-07-23,,CERRADO,No cuenta con un monto de siniestro
606,9853,2025-08-13,13270.26,,El estado del siniestro se encuentra vacio
607,7941,2026-01-15,2490.28,,El estado del siniestro se encuentra vacio
611,17162,2026-02-15,,ABIERTO,No cuenta con un monto de siniestro
612,3316,2025-08-13,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
617,17670,2025-02-03,,RECHAZADO,No cuenta con un monto de siniestro
618,1023,2025-02-02,,RECHAZADO,No cuenta con un monto de siniestro
621,2841,2025-01-11,5695.4,,El estado del siniestro se encuentra vacio
622,1623,2026-01-02,8782.83,,El estado del siniestro se encuentra vacio
623,10760,2025-03-09,14910.95,,El estado del siniestro se encuentra vacio
625,24203,2025-06-21,,RECHAZADO,No cuenta con un monto de siniestro
628,23681,2026-01-27,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
629,9818,2025-11-08,,ABIERTO,No cuenta con un monto de siniestro
630,1708,2026-02-13,11486.29,,El estado del siniestro se encuentra vacio
632,14193,2025-08-21,2506.71,,El estado del siniestro se encuentra vacio
634,18267,2025-12-31,6524.1,,El estado del siniestro se encuentra vacio
636,22410,2025-02-21,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
639,10248,2025-07-04,1516.11,,El estado del siniestro se encuentra vacio
644,21088,2025-11-26,5253.85,,El estado del siniestro se encuentra vacio
647,22110,2025-08-19,,CERRADO,No cuenta con un monto de siniestro
651,16433,2025-06-26,10165.98,,El estado del siniestro se encuentra vacio
652,8973,2026-01-19,,ABIERTO,No cuenta con un monto de siniestro
653,8325,2025-11-29,3436.47,,El estado del siniestro se encuentra vacio
654,19098,2025-01-28,11940.83,,El estado del siniestro se encuentra vacio
656,7208,2025-11-03,10346.31,,El estado del siniestro se encuentra vacio
661,6981,2025-10-21,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
662,15605,2025-12-16,,ABIERTO,No cuenta con un monto de siniestro
663,15104,2025-12-04,13252.17,,El estado del siniestro se encuentra vacio
664,5731,2026-02-21,5577.51,,El estado del siniestro se encuentra vacio
666,10515,2025-01-11,1415.47,,El estado del siniestro se encuentra vacio
668,12401,2025-04-01,,RECHAZADO,No cuenta con un monto de siniestro
671,9678,2025-07-02,3157.22,,El estado del siniestro se encuentra vacio
672,18183,2025-03-26,14404.32,,El estado del siniestro se encuentra vacio
675,4118,2026-01-30,11468.98,,El estado del siniestro se encuentra vacio
676,25652,2025-12-11,4329.18,,El estado del siniestro se encuentra vacio
679,777,2025-01-27,5565.28,,El estado del siniestro se encuentra vacio
681,6234,2025-10-15,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
686,20908,2025-06-11,7236.55,,El estado del siniestro se encuentra vacio
687,15875,2025-06-18,,RECHAZADO,No cuenta con un monto de siniestro
688,9946,2025-01-14,10893.34,,El estado del siniestro se encuentra vacio
691,12163,2025-04-11,,ABIERTO,No cuenta con un monto de siniestro
695,21466,2025-11-28,3201.99,,El estado del siniestro se encuentra vacio
696,7945,2025-09-18,7898.62,,El estado del siniestro se encuentra vacio
698,18567,2025-01-20,,CERRADO,No cuenta con un monto de siniestro
700,19484,2025-03-01,5388.51,,El estado del siniestro se encuentra vacio
701,10012,2025-02-12,5662.35,,El estado del siniestro se encuentra vacio
703,6331,2025-02-10,2355.04,,El estado del siniestro se encuentra vacio
704,13263,2025-11-17,,CERRADO,No cuenta con un monto de siniestro
708,25560,2026-02-02,,RECHAZADO,No cuenta con un monto de siniestro
709,16266,2025-01-16,,CERRADO,No cuenta con un monto de siniestro
710,24697,2025-02-12,10893.55,,El estado del siniestro se encuentra vacio
711,24433,2025-10-16,,CERRADO,No cuenta con un monto de siniestro
716,12752,2025-09-16,118.87,,El estado del siniestro se encuentra vacio
717,17888,2025-06-29,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
725,9321,2026-01-02,7244.32,,El estado del siniestro se encuentra vacio
726,20483,2026-01-31,,RECHAZADO,No cuenta con un monto de siniestro
728,19693,2025-08-02,2934.75,,El estado del siniestro se encuentra vacio
730,16114,2025-01-18,,ABIERTO,No cuenta con un monto de siniestro
734,906,2025-06-07,3328.44,,El estado del siniestro se encuentra vacio
735,10034,2025-05-15,325.07,,El estado del siniestro se encuentra vacio
738,21149,2025-09-04,12608.36,,El estado del siniestro se encuentra vacio
740,10643,2025-02-04,,CERRADO,No cuenta con un monto de siniestro
741,22401,2025-12-21,5135.94,,El estado del siniestro se encuentra vacio
742,6027,2025-12-03,8073.42,,El estado del siniestro se encuentra vacio
743,17172,2025-09-05,3761.89,,El estado del siniestro se encuentra vacio
746,10464,2025-02-09,,CERRADO,No cuenta con un monto de siniestro
751,19485,2025-08-04,11169.95,,El estado del siniestro se encuentra vacio
752,3750,2025-10-01,12176.52,,El estado del siniestro se encuentra vacio
754,6917,2025-07-23,14564.02,,El estado del siniestro se encuentra vacio
756,14767,2026-02-18,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
758,20407,2025-08-31,,RECHAZADO,No cuenta con un monto de siniestro
759,8302,2025-09-19,3052.94,,El estado del siniestro se encuentra vacio
760,20684,2025-08-02,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
762,18894,2025-09-23,11117.21,,El estado del siniestro se encuentra vacio
763,21471,2025-02-12,7154.89,,El estado del siniestro se encuentra vacio
765,23282,2025-01-19,1172.2,,El estado del siniestro se encuentra vacio
766,11542,2025-11-15,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
771,25633,2025-10-12,,CERRADO,No cuenta con un monto de siniestro
773,20762,2025-12-16,7728.89,,El estado del siniestro se encuentra vacio
777,25653,2025-10-10,13048.69,,El estado del siniestro se encuentra vacio
778,466,2025-07-30,14257.82,,El estado del siniestro se encuentra vacio
779,6799,2025-08-07,,ABIERTO,No cuenta con un monto de siniestro
783,16516,2025-04-17,7253.18,,El estado del siniestro se encuentra vacio
784,8863,2025-12-05,,CERRADO,No cuenta con un monto de siniestro
785,13180,2025-06-04,8136.02,,El estado del siniestro se encuentra vacio
786,19362,2025-07-11,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
788,19721,2025-10-06,,CERRADO,No cuenta con un monto de siniestro
790,9179,2026-02-11,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
791,786,2025-11-14,11956.55,,El estado del siniestro se encuentra vacio
792,19152,2026-01-03,8222.52,,El estado del siniestro se encuentra vacio
793,9967,2025-10-15,6943.75,,El estado del siniestro se encuentra vacio
806,23617,2025-11-10,10174.82,,El estado del siniestro se encuentra vacio
808,8362,2025-05-15,14553.74,,El estado del siniestro se encuentra vacio
814,6170,2026-01-07,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
816,22324,2025-02-14,10355.24,,El estado del siniestro se encuentra vacio
817,5151,2026-02-03,,CERRADO,No cuenta con un monto de siniestro
821,17238,2025-11-30,,ABIERTO,No cuenta con un monto de siniestro
825,22006,2025-10-23,5117.41,,El estado del siniestro se encuentra vacio
828,2640,2026-01-05,8600.05,,El estado del siniestro se encuentra vacio
829,17197,2025-12-12,6676.28,,El estado del siniestro se encuentra vacio
830,11751,2025-04-09,,ABIERTO,No cuenta con un monto de siniestro
834,4637,2026-02-16,,ABIERTO,No cuenta con un monto de siniestro
835,16319,2025-10-18,9169.42,,El estado del siniestro se encuentra vacio
838,1618,2025-09-12,,ABIERTO,No cuenta con un monto de siniestro
839,5627,2025-05-13,,ABIERTO,No cuenta con un monto de siniestro
840,12030,2025-07-30,,RECHAZADO,No cuenta con un monto de siniestro
843,6564,2025-12-21,13205.44,,El estado del siniestro se encuentra vacio
847,20614,2025-01-11,11042.11,,El estado del siniestro se encuentra vacio
848,25755,2026-02-02,,CERRADO,No cuenta con un monto de siniestro
854,7708,2026-02-11,-14084.73,,El estado del siniestro se encuentra vacio
861,12983,2025-11-11,,RECHAZADO,No cuenta con un monto de siniestro
862,18675,2026-02-10,10467.37,,El estado del siniestro se encuentra vacio
865,21386,2025-08-06,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
868,6666,2026-02-02,853.04,,El estado del siniestro se encuentra vacio
869,12599,2025-12-19,,ABIERTO,No cuenta con un monto de siniestro
871,20090,2025-01-03,,RECHAZADO,No cuenta con un monto de siniestro
876,20967,2025-08-19,1786.91,,El estado del siniestro se encuentra vacio
877,7112,2025-10-13,9381.6,,El estado del siniestro se encuentra vacio
879,15051,2025-06-13,10473.53,,El estado del siniestro se encuentra vacio
880,11799,2025-03-15,,CERRADO,No cuenta con un monto de siniestro
884,2828,2025-07-16,,CERRADO,No cuenta con un monto de siniestro
885,12659,2025-03-03,9224.07,,El estado del siniestro se encuentra vacio
886,9085,2025-04-22,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
888,13722,2025-07-11,698.38,,El estado del siniestro se encuentra vacio
891,5149,2025-12-11,8959.0,,El estado del siniestro se encuentra vacio
892,477,2025-03-24,,,"El estado del siniestro se encuentra vacio, No cuenta con un monto de siniestro"
893,15751,2025-10-16,4979.42,,El estado del siniestro se encuentra vacio
894,20520,2026-01-05,5313.13,,El estado del siniestro se encuentra vacio
