id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
209,2026-02-07,1974,25,13,9,72.55,18.01,
210,2025-07-17,2680,12,10,5,,,
211,2025-09-30,1795,11,9,7,,237.61,171128.94
212,2025-09-09,2876,13,10,7,213.27,,12711.02
215,2025-02-26,483,71,7,1,,104.78,58056.65
216,2025-04-04,1330,46,10,12,,,
218,2025-04-22,3630,1,9,2,,88.01,
219,2025-02-22,1052,5,13,9,,176.78,205287.05
220,2025-12-21,1871,34,6,7,,144.19,127817.41
223,2025-09-23,1312,75,15,1,312.76,,44896.28
229,2025-12-24,2625,10,5,1,1624.52,,263502.43
230,2025-12-19,1245,6,13,3,238.5,,44718.94
231,2025-01-22,2790,73,7,3,1729.95,,161771.05
233,,2619,42,4,6,277.67,63.81,54034.44
234,2025-04-28,2270,68,3,9,,157.51,380748.51
235,,2895,65,8,2,,,193621.53
237,2025-02-11,1137,37,6,3,,268.64,106698.49
239,2025-05-31,1236,77,10,8,760.38,,111154.53
240,,536,15,6,10,,180.09,79238.61
241,2025-02-03,657,22,3,4,,199.83,
243,2025-10-09,634,16,14,3,1585.52,283.81,
244,2026-01-26,1804,18,7,5,,133.24,81691.01
245,2025-07-25,2704,51,1,5,,274.71,41044.61
246,2025-09-24,2695,40,14,7,735.39,59.42,
247,2026-07-01,924,49,5,11,,131.17,274013.46
248,2025-11-15,1011,64,10,4,1846.72,,320537.24
249,2025-09-07,1500,73,4,6,,,
250,2025-04-02,1771,63,14,3,424.38,72.81,
251,2025-06-21,1262,68,1,5,601.96,120.32,
252,,1575,33,14,8,1422.87,76.42,
254,2025-06-06,917,23,1,6,1042.39,132.79,
255,2025-03-22,2003,60,1,2,275.48,,
256,2025-07-28,2083,71,12,9,,326.26,
257,2025-04-19,2855,25,14,7,,132.4,17045.13
259,2025-11-28,148,17,5,1,1560.57,,170301.72
260,2025-01-14,971,57,13,6,595.33,132.98,
262,2025-02-14,1441,1,12,7,,,
265,2025-08-12,184,62,13,9,264.84,,20928.09
267,2025-01-17,761,60,1,12,836.8,,67062.51
268,,1635,13,14,4,1161.47,87.66,126085.89
270,2025-05-17,168,64,1,8,1079.04,,153797.15
271,2025-04-20,1773,43,11,5,1395.69,,101033.61
272,,2717,50,13,5,529.12,126.8,
273,2025-04-12,2346,41,12,10,470.44,42.33,
274,2026-02-04,222,16,12,6,359.96,,49248.02
276,2025-01-14,482,19,14,11,1238.05,,149205.72
278,2025-11-04,1832,27,10,9,,150.96,319716.88
279,2025-12-14,770,66,14,3,901.35,,39362.62
282,2025-12-31,1190,6,4,6,102.19,24.17,
283,,254,65,13,12,311.5,25.08,
289,2026-02-11,2696,62,12,7,,52.21,143989.06
290,2025-04-13,326,61,2,6,,339.8,
291,2025-05-05,281,54,1,9,,,132725.63
292,,1514,27,3,1,365.44,39.1,9478.09
293,2025-10-28,175,24,15,1,,,158807.4
294,2025-08-19,2129,13,13,7,,212.49,100787.99
295,2025-05-31,764,52,7,5,987.43,,164812.9
296,2025-05-03,1812,77,13,11,,47.2,99611.28
298,2026-02-10,2390,2,14,9,,396.87,
299,2025-05-05,2724,18,5,7,1142.36,88.5,
301,2025-09-15,1579,72,11,1,,18.74,4988.88
302,2025-04-25,679,60,1,6,,86.07,83621.21
306,2025-07-06,619,17,10,2,,129.63,196786.22
311,2026-01-18,236,19,8,12,662.47,34.15,
312,2025-06-13,1894,10,13,2,1944.37,129.58,
313,2026-01-25,2852,30,1,11,1736.83,,122859.35
314,2025-03-16,444,68,4,1,,28.88,48398.37
317,2025-01-17,2621,19,2,8,70.91,17.25,
318,,380,58,11,9,779.52,,79294.65
319,2026-01-26,2874,9,1,11,726.96,,122532.96
320,,2637,64,1,9,1224.21,261.15,183732.97
322,2025-08-19,454,75,11,3,850.81,,166822.37
324,2025-08-12,689,68,1,6,,391.8,260739.67
325,2025-09-17,531,13,2,10,,126.53,
326,2025-02-27,2429,22,3,1,740.5,,
328,2026-08-01,2035,34,9,8,,201.21,
329,2025-10-07,1584,78,10,10,965.87,,80283.34
330,2025-07-15,2011,15,10,2,1158.76,,143147.74
331,2025-06-14,2628,51,9,3,1055.42,,169845.49
332,2026-02-02,2249,63,5,8,1033.15,,124531.25
334,2025-06-16,1976,64,12,8,1572.9,255.61,
335,2025-02-09,282,43,8,6,,18.72,20333.48
337,2025-07-24,3574,35,4,10,1304.27,136.32,
342,2025-04-28,1132,50,7,1,1840.74,,343602.22
343,,1809,74,13,6,261.29,22.99,11502.8
345,2025-08-11,1606,47,12,1,323.93,38.26,
346,2025-12-08,1529,61,9,3,1153.35,220.03,
347,2025-11-08,1108,65,2,5,,13.6,9304.45
348,2025-07-31,1317,20,1,2,1666.25,356.84,
349,2025-09-20,2133,51,7,6,1267.27,,182975.67
355,2025-12-19,2758,77,12,8,1934.73,,316696.31
356,2025-10-31,729,63,14,7,1517.29,,224140.06
359,2025-12-29,3785,8,6,1,,,
360,2025-04-12,3666,59,7,9,861.49,,36651.44
361,2025-05-23,702,21,15,6,1186.26,,65607.3
363,2026-01-11,2480,2,14,6,,148.66,160600.88
366,,844,31,2,1,1992.81,300.46,97957.19
368,2025-01-13,2229,12,8,1,312.7,32.01,
371,2026-01-25,602,17,11,4,,,
372,2026-01-02,2269,59,8,7,,,84920.53
373,,1870,21,1,5,1038.02,98.58,72125.71
375,2025-09-19,1358,80,4,10,,63.4,
376,,3527,73,6,5,110.64,14.62,12500.24
377,2025-08-23,2290,36,3,1,1389.23,,
378,,1868,60,12,9,1755.33,276.66,288662.01
379,2025-08-22,573,2,15,5,92.25,18.56,
382,2025-04-12,1204,29,13,1,,73.38,163339.83
383,2025-11-24,234,34,13,4,,73.81,108825.24
386,2025-06-01,117,43,4,7,,21.8,43701.61
388,2025-12-01,1001,47,14,4,,,87870.06
389,2026-01-12,581,53,13,12,216.28,,
390,2025-01-31,2187,14,5,10,1182.03,,89798.89
391,2025-12-09,2575,43,15,11,,59.01,30926.4
392,2025-04-07,1062,38,15,3,,79.4,109425.04
396,2025-10-16,588,51,3,6,1353.44,309.33,
397,2025-05-07,2761,77,9,9,,,26510.38
400,2025-08-25,1674,35,12,1,1544.57,,42133.22
401,2025-09-01,1435,1,3,12,1745.43,,260632.03
402,2025-08-15,1721,63,8,5,405.99,71.04,
403,2025-08-11,1714,75,3,2,,,45428.93
404,2026-02-09,1407,28,14,8,,42.22,19368.57
406,2025-09-22,1393,7,15,3,1384.51,194.9,
407,2025-08-30,618,23,1,9,1327.66,,234801.96
408,2025-10-19,1694,5,3,4,458.92,97.55,
410,,1818,66,11,9,,,98744.66
411,,177,38,10,8,393.15,,37040.34
416,,297,21,5,10,464.88,101.67,45376.39
417,2025-10-07,60,35,8,1,620.81,90.95,
418,,206,29,11,12,360.12,86.63,69683.94
420,,2211,1,15,6,1837.9,390.08,107175.91
432,2025-02-01,1557,62,3,5,,207.9,
434,2025-03-20,2333,51,2,6,,17.35,
435,2025-12-31,365,31,6,6,1939.31,,357795.18
437,2025-11-05,1256,61,7,12,1900.51,,172566.66
438,2025-08-11,1972,73,12,10,-1778.57,,295736.23
440,2026-01-06,1109,54,12,3,,23.62,27679.23
442,2025-03-23,3881,19,15,5,1081.98,,
445,2025-04-26,1383,42,5,9,1857.17,,350577.41
446,2025-11-07,1091,23,8,12,,11.62,4844.8
447,2025-08-30,2535,70,10,11,,267.96,320624.01
448,,459,77,2,3,1973.47,235.49,125583.09
451,2025-03-26,1809,51,12,9,516.0,42.02,
454,2025-07-13,1449,53,14,9,605.84,129.93,
457,2025-10-28,2597,48,14,12,436.02,77.71,
458,2025-01-24,2233,10,4,8,,59.29,
459,2025-07-09,135,12,12,11,1350.74,320.2,
464,2025-08-02,1630,14,1,6,,59.17,
465,2025-09-25,1929,79,3,5,1945.13,332.26,
466,2025-11-15,2898,42,7,2,,54.71,14166.74
467,2025-10-24,781,35,8,7,,251.38,162310.51
469,2025-12-14,273,38,13,1,1207.61,103.23,
472,2025-11-13,473,15,8,11,0.0,31.72,
473,2025-12-03,2945,67,1,9,1869.53,169.04,
475,2025-02-27,405,56,8,10,725.33,78.35,
479,2026-05-02,2034,65,5,7,931.56,138.27,
480,2025-06-14,1343,1,2,8,1810.4,,184337.17
482,2025-06-05,170,52,6,2,178.98,,26558.18
488,2025-03-29,2538,78,15,4,469.17,,68548.42
490,,983,78,2,9,1479.43,197.15,150480.65
493,2025-05-29,604,11,2,2,,99.01,118835.36
495,2025-02-04,2403,77,15,9,,167.88,196931.25
497,2025-10-13,703,34,6,12,,28.27,65152.17
500,2025-06-29,2382,2,2,2,1805.76,205.29,
501,2025-05-10,1703,66,4,11,310.65,73.03,
503,2025-08-01,2629,61,4,8,,,44153.87
504,2025-06-15,2703,61,12,7,,,
505,2025-07-19,1817,56,1,8,658.17,,17945.01
507,2025-07-21,71,63,6,2,1604.54,,57680.77
508,2025-05-23,1415,75,5,1,1028.33,253.52,
510,2025-03-29,699,43,14,12,1124.08,121.5,
511,2025-03-31,2545,36,10,11,,380.95,121142.67
512,2025-04-25,2723,67,6,5,,6.23,15008.2
518,2025-09-13,1875,60,8,4,,,328641.34
521,,2939,14,6,11,1998.2,398.18,
523,2025-03-22,938,47,9,10,,,
527,,2629,44,15,1,1498.66,346.97,218178.19
529,2025-09-04,1326,23,8,6,,52.59,67713.3
530,2025-12-15,214,55,15,7,1066.08,161.64,
532,2025-10-28,1369,54,4,3,306.81,,57557.29
538,2025-06-07,2146,23,12,8,643.98,121.68,
539,2025-12-20,620,2,4,9,56.45,,9836.44
541,2025-04-28,1607,79,5,8,391.61,,25191.25
544,,1631,43,3,5,1705.97,,278392.08
546,2025-09-18,683,18,12,7,,,
548,2026-02-02,140,75,14,2,,238.1,211004.23
551,2025-04-23,1815,21,1,4,,124.2,209012.04
553,2026-07-01,2446,1,10,12,,207.12,
554,2025-01-30,659,43,4,2,316.37,,
556,2025-09-23,2075,41,5,7,910.0,,56167.62
558,2025-11-19,278,14,2,10,1329.62,118.69,
562,2026-01-21,1565,32,9,3,1761.04,254.27,
564,2025-03-21,2174,57,6,8,576.14,,76260.33
567,2026-01-04,1718,78,10,1,1429.03,,122545.12
568,2025-06-13,1884,55,5,12,,,119021.19
570,2025-04-16,2214,74,3,4,636.27,,53905.94
571,2025-07-26,788,69,9,1,,149.93,82686.26
572,,2819,66,15,11,786.78,186.55,151490.56
573,2025-12-17,2280,45,11,5,,194.57,
574,2025-02-16,2920,23,15,12,484.69,73.71,
578,2025-11-17,862,39,8,7,148.55,,25004.08
579,2025-07-22,1913,28,7,4,,18.29,4641.89
582,2026-01-20,11,69,11,6,,,162305.06
583,2025-01-19,3553,54,12,1,1492.56,,
586,2026-01-23,703,79,9,6,96.76,,13409.03
587,2025-04-24,2692,26,13,2,1024.25,67.72,
588,2025-03-22,24,24,9,11,1805.91,,291663.33
589,2025-03-22,1709,78,7,3,701.62,41.46,
590,,222,32,14,12,,,232343.62
592,2025-09-25,1683,33,14,2,610.59,,39225.86
593,2025-06-21,2395,4,14,6,,21.01,
594,2025-12-21,294,61,2,8,,415.66,40996.09
597,2025-04-21,2380,32,13,6,278.09,,
598,2025-04-22,2730,13,7,4,830.75,128.47,
601,2025-12-11,2680,58,14,8,122.03,,23368.45
602,2025-04-30,2497,50,2,1,1343.48,274.96,
603,,1202,15,12,11,1018.98,,
605,2025-10-03,1360,57,9,12,868.18,,34612.39
607,2025-12-13,2295,43,15,6,,82.25,13281.29
609,2025-01-24,611,31,13,2,149.29,,29024.73
615,,2333,78,15,1,1390.73,128.13,164935.64
620,2025-10-09,2727,2,6,9,,,346297.5
621,2025-07-02,1361,48,3,7,,19.56,
622,2025-09-30,2019,35,5,2,297.08,,
623,2025-07-24,1010,41,7,1,118.23,21.24,
624,2025-09-01,2134,33,10,6,474.87,,24255.64
626,2025-03-07,2766,34,15,8,126.3,,
627,2025-01-23,2276,77,15,11,539.59,75.27,
628,2025-09-07,2464,32,1,12,77.7,,6080.3
629,2025-01-09,789,28,5,12,1686.74,,43854.63
631,2025-08-09,1836,55,13,5,331.16,24.16,
633,,1450,64,12,2,,196.08,165820.35
639,2025-10-15,135,21,15,3,1793.33,96.03,
640,2025-05-17,1863,29,13,6,1350.54,142.5,
645,2025-08-04,2176,30,10,7,1437.43,225.46,
647,2025-11-27,2618,7,3,6,655.45,,62624.03
648,2025-09-24,2333,67,13,7,,62.41,87142.15
651,2025-10-09,2942,16,1,1,239.96,,26594.71
652,2025-10-05,2387,112,10,12,,57.46,120076.09
653,2025-05-20,642,23,8,11,,195.98,353113.4
656,2025-12-29,2651,76,8,10,229.69,,42318.79
658,,944,48,7,7,,217.42,165037.61
659,2025-06-16,2180,58,12,12,,263.96,
662,2025-01-09,253,51,4,7,332.93,,54153.59
663,,2679,47,13,4,1753.61,328.92,
664,,2229,51,8,8,,60.01,
665,2025-02-19,1334,38,12,9,407.01,87.27,
666,2025-04-10,1930,34,7,1,355.38,,55585.71
668,2025-03-08,2830,70,6,9,,1576.2,199080.94
669,,2225,57,9,10,1020.81,,184643.2
670,2026-01-13,2044,120,7,5,1367.98,156.21,
673,2025-07-16,2597,38,7,6,,49.02,38687.42
674,2025-03-29,2057,15,10,2,722.61,62.33,
677,2025-11-11,1808,68,9,6,1071.75,,119043.27
682,2025-11-09,960,32,15,1,1560.81,,
683,2025-10-20,1622,21,9,3,,109.08,136490.3
684,2025-08-27,1741,32,1,10,1867.34,,
687,2025-02-04,1880,57,6,4,,259.22,
688,2025-09-14,1246,1,8,6,1438.09,,
689,2025-01-18,1858,4,6,2,1605.13,,150198.88
691,2025-09-03,989,1,14,7,1392.56,227.37,
693,2025-02-21,13,41,12,11,,,246608.56
694,2025-01-14,2574,70,15,6,,252.51,76577.3
696,2025-06-25,2602,47,11,7,0.0,,265041.16
697,2025-11-25,2269,76,3,3,,69.43,225420.02
699,2025-09-26,2989,29,4,6,176.01,35.67,
701,2025-06-11,428,39,1,11,,84.26,115735.43
703,2025-07-17,629,48,8,4,,59.78,
710,2025-01-05,2358,46,5,3,,,278081.15
712,,1849,32,4,3,,,177148.68
714,2025-11-23,2028,21,14,12,1513.02,197.69,
715,2026-01-26,765,5,4,2,823.82,,
716,2025-04-07,818,14,11,6,1601.2,,287682.28
717,2025-11-02,910,65,9,12,,,263737.8
719,,156,19,7,11,390.45,,68449.14
721,2025-11-03,2905,79,15,9,175.38,,22820.73
722,,381,51,9,11,1869.07,135.96,51502.21
724,2025-11-30,1166,64,5,9,1659.38,,167264.04
725,2025-03-31,626,77,13,4,,63.88,54483.6
728,2026-01-18,1904,5,10,10,,13.65,15552.96
730,,1781,22,3,7,156.39,25.56,5302.74
734,2025-01-28,1626,54,6,12,,73.3,109112.3
739,2025-03-04,2661,12,15,8,836.47,,86215.93
745,2025-02-19,2831,28,8,11,253.24,,35801.44
746,,1981,69,7,10,1679.44,335.69,170490.77
747,2025-11-21,1140,37,8,5,,165.16,114736.18
748,2025-07-12,1748,65,13,6,354.66,,60506.04
749,2025-10-01,339,15,9,6,1261.69,,183418.98
751,2025-11-22,389,12,10,6,,,
756,2025-01-26,2714,114,10,3,,294.64,
757,2025-11-07,917,51,5,11,1578.22,,162335.4
759,,1143,68,14,5,,323.94,
760,2025-12-27,1944,8,13,12,,107.19,
761,2025-03-05,923,15,7,12,,88.27,154721.09
762,2025-10-06,1236,35,12,10,,230.51,183137.35
764,2025-07-02,1319,65,9,3,1715.41,,204680.23
766,2025-06-14,962,28,12,1,920.18,48.98,
767,2026-01-03,1765,12,2,10,698.16,138.73,
768,2025-08-27,35,28,8,10,,118.12,121071.74
770,2025-03-10,2358,78,1,6,1447.18,,239178.75
771,2025-10-08,2710,78,1,4,,162.2,51458.19
775,2025-06-08,2127,33,1,1,76.43,17.42,
776,2025-06-29,698,47,7,1,600.01,,74745.15
777,2025-11-05,1358,11,2,9,268.61,,
782,,2357,40,1,1,,130.95,
786,2025-08-11,2374,64,14,1,,131.34,168624.82
790,2025-12-20,1113,24,1,12,1814.13,,362723.77
793,2025-01-29,1975,78,14,7,1613.84,220.24,
794,2025-10-28,458,50,4,11,,103.34,153868.32
795,2025-10-11,1952,68,1,8,,99.43,37579.58
796,2026-01-30,1968,39,4,3,,227.97,
797,,484,23,10,5,870.03,89.24,56125.56
798,2025-10-30,1430,13,2,11,332.92,70.56,
799,2025-03-20,889,74,15,5,,268.59,95455.53
800,2025-05-05,1942,62,4,5,1274.23,,99913.21
802,2025-07-22,2288,60,13,12,,227.12,152154.29
804,2026-01-19,1154,13,12,6,,64.72,
805,2025-05-08,2820,32,8,1,1977.34,,169249.11
807,,781,12,15,8,750.95,1322.13,123413.93
808,2025-04-20,967,77,8,11,,89.02,239516.51
815,,698,52,8,12,1119.38,246.33,
816,2026-01-28,594,52,8,11,86.63,13.67,
817,2025-11-13,1820,6,5,3,,72.29,66395.65
825,2025-08-23,256,29,15,6,1857.8,322.91,
827,2025-11-13,607,23,6,5,751.19,,149449.7
828,,820,37,15,2,1521.6,,205644.15
829,2026-01-23,24,36,7,1,489.03,720.62,
831,2025-09-08,2683,68,10,1,361.62,,24344.03
834,2026-02-15,1793,71,9,8,1361.35,334.97,
835,,380,38,2,3,93.03,17.92,15672.46
836,2025-10-25,2473,28,4,3,972.0,,44879.05
839,2025-12-14,2840,25,2,11,647.16,128.04,
841,2025-05-01,1152,20,13,4,519.32,,58821.48
843,2026-01-13,657,60,6,8,1480.7,,283443.68
844,2025-04-14,778,6,10,8,,18.48,21389.71
845,2025-02-23,14,73,9,11,1269.39,265.58,
846,2025-07-18,47,2,7,7,1714.36,258.59,
847,2025-05-17,1546,42,9,1,,179.28,124007.19
848,,170,72,1,9,463.65,,9638.92
850,2025-12-10,2066,4,7,12,873.87,,
851,2025-12-26,867,57,9,3,,329.94,148250.67
852,,1367,41,8,9,1903.39,132.64,254508.4
853,2025-03-12,1107,62,10,10,587.31,,37778.91
855,2025-07-17,569,15,10,10,1411.04,214.76,
857,2025-02-23,933,67,3,8,,341.26,174243.88
858,2025-03-21,1467,33,7,11,,,124608.25
865,2025-09-08,2760,46,1,6,,208.18,
866,2026-05-01,2042,44,6,10,1296.66,,241369.29
869,2025-08-21,531,34,11,11,1540.81,,284174.65
872,,2347,73,2,6,1545.69,333.57,237739.94
873,2025-04-15,1087,36,1,12,,328.66,196368.09
877,2025-08-07,1371,58,3,1,1917.67,,219668.44
881,2025-04-09,839,10,11,8,,239.54,38387.21
883,2025-06-29,495,118,6,4,1049.84,,186268.58
884,2026-01-09,2279,60,11,10,1818.38,,
885,2025-06-12,797,12,2,12,,146.34,118246.21
887,2025-10-11,1139,1,10,12,,338.82,167285.05
888,2025-01-31,1313,15,15,9,354.31,24.0,
894,2025-01-29,1962,15,14,1,892.07,66.33,
895,2025-12-15,1923,57,10,7,1365.73,96.67,
897,2025-08-22,1427,80,7,9,1494.58,,145788.69
902,2025-11-03,1073,8,13,6,1380.59,,109273.28
904,,3740,50,2,2,979.97,,46431.2
908,2025-04-19,1075,80,14,3,1967.46,,305634.39
909,2025-12-11,2699,93,12,6,564.64,106.62,
910,2026-03-02,409,48,14,2,460.91,,
911,2025-05-05,481,60,6,3,1640.83,131.15,
912,2025-06-16,1791,22,9,1,0.0,228.91,
916,2026-01-23,1556,70,9,12,1367.51,126.23,
919,2025-12-13,1102,17,10,10,,177.0,
922,2025-12-18,2381,50,10,5,,17.92,9698.68
923,,281,12,15,1,,,145973.4
925,2025-10-14,917,10,12,10,,46.43,5915.34
930,2025-11-23,696,20,4,9,,85.98,184099.3
931,2026-01-22,1136,50,10,7,210.61,40.21,
933,2025-10-23,1115,49,2,8,,118.78,44931.22
936,2025-02-17,3795,40,7,9,-520.28,,47053.68
937,2025-07-18,3692,21,1,2,,208.41,190013.26
939,2025-05-24,1644,13,15,7,1312.63,239.39,
943,2025-11-05,554,58,12,3,1207.33,,160881.33
946,2025-07-18,1014,58,10,1,,117.42,87988.95
948,2025-12-07,1064,60,9,6,795.71,,
949,2025-07-02,1920,2,15,10,,99.18,115240.21
950,2025-12-16,1367,19,1,4,,96.87,72692.11
951,2025-04-06,2172,27,13,10,1554.17,2180.73,
953,2025-02-21,2371,59,1,10,740.29,108.83,
954,2026-02-13,1778,61,4,9,,,
956,,1316,14,15,5,,16.7,
958,2025-05-08,2188,6,2,4,,301.14,130667.18
960,2025-06-28,1711,40,8,4,175.21,,
961,2025-05-18,916,71,4,1,,46.69,25151.14
962,2025-09-18,2801,80,1,11,303.23,32.41,
964,2025-11-29,939,1,13,11,1073.08,,75000.94
968,2025-05-08,2408,12,7,8,1097.2,92.96,
970,2025-03-27,2591,39,14,9,857.93,190.43,
973,2026-02-13,1852,59,7,1,,348.13,76610.96
974,2026-01-31,1944,38,2,12,855.13,136.61,
975,2025-07-01,907,44,8,8,,,113193.29
978,2026-01-27,663,76,5,1,,100.99,
979,2025-07-12,1306,105,14,2,79.6,,13816.88
983,2025-08-14,1551,52,1,12,,40.19,32415.06
984,2025-06-20,1483,34,7,1,,,
986,2025-04-25,1253,68,8,5,700.61,,107728.62
987,2025-11-04,2649,38,5,4,,121.04,93379.15
988,2025-09-01,760,44,7,7,,347.14,189317.66
992,,1105,70,9,7,1690.3,2765.68,
994,2025-05-20,1408,20,8,9,853.33,,
995,2025-05-10,1564,1,4,8,,274.64,
996,2025-03-09,1881,1,15,12,965.9,53.98,
999,,1036,52,7,6,1627.86,171.51,
1000,2025-06-22,1177,14,3,2,1322.87,,
1001,2025-01-13,2762,76,3,1,742.93,,57831.32
1002,2025-04-07,367,41,3,5,78.43,8.19,
1010,,1292,35,7,12,735.08,,67828.05
